날짜,지역,판매량,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사량(MJ/m2),평균 지면온도(°C)
20160101,서울특별시,15929,1.2,,1.6,73,4.61,0.2
20160102,서울특별시,13086,5.7,,2,76.9,4.5,2.8
20160103,서울특별시,14667,6.5,,1.8,80.6,4.85,4.8
20160104,서울특별시,8596,2,,3.1,54.4,9.03,3
20160105,서울특별시,8602,-2.7,,2.3,39.4,8.22,0.1
20160106,서울특별시,8749,-1.7,,1.8,54.3,4.69,-0.5
20160107,서울특별시,9164,-3.4,,2.5,51.8,9.76,-1
20160108,서울특별시,11274,-3.3,,2,49.8,9.83,-1.5
20160109,서울특별시,14147,-2.1,,2.1,57.1,9.28,-1
20160110,서울특별시,14172,0.3,,2.6,42.3,9.35,0.2
20160111,서울특별시,8742,-3.8,,2.8,38.3,9.89,-1.6
20160112,서울특별시,8798,-5.2,,2.5,46,10.02,-2.5
20160113,서울특별시,9271,-4.5,0.4,2,63,6.69,-1.8
20160114,서울특별시,9548,-3.4,0,1.7,52.1,8.8,-1.1
20160115,서울특별시,12463,-0.4,,1.8,52.3,7.85,-0.2
20160116,서울특별시,14948,-0.2,0.1,2.9,68,4.86,0.1
20160117,서울특별시,15265,1.7,,2.4,64,4.23,0.4
20160118,서울특별시,7415,-6.3,0.2,4.8,59.8,8.31,-1.3
20160119,서울특별시,7129,-12.8,,5.4,45.9,10.82,-5.8
20160120,서울특별시,8650,-10.5,,1.8,43.6,9.08,-5.1
20160121,서울특별시,8588,-7.1,,1.8,44.3,8.41,-3.4
20160122,서울특별시,9890,-7.6,,2.6,40.5,7.62,-4.1
20160123,서울특별시,11613,-11.5,0,4,42,9.18,-5.3
20160124,서울특별시,12130,-14.4,,3.2,48.5,10.54,-7.9
20160125,서울특별시,8668,-9.4,,1.9,47.1,11.22,-5.9
20160126,서울특별시,9276,-3.3,0.3,2.3,64.5,6.5,-2.2
20160127,서울특별시,9718,-1.1,,2,56.3,9.55,-1.5
20160128,서울특별시,9725,-0.5,,1.6,51.5,5.88,-1.1
20160129,서울특별시,13259,1.9,,2.3,43.6,4.19,0.3
20160130,서울특별시,13731,0.6,,2,59.5,8.01,-0.3
20160131,서울특별시,12455,-3.9,,3.2,34,10.75,-1.1
20160201,서울특별시,7609,-6,,3,36,12.01,-2.7
20160202,서울특별시,8332,-5.3,,2.2,41.8,12.05,-3
20160203,서울특별시,9666,-2.4,,1.9,49.6,10.46,-1.8
20160204,서울특별시,8895,-0.7,,2.4,50.1,9.82,-0.5
